No	Group	SubjectID	LevelTest	Age	Gender	MonthLearn	MonthStay	ItemID	ExpectedAnswer	ItemType	IsWalkPrefixSet	IsMannerSet	IsAspectSet	ExpectedPath	ExpectedManner	ExpectedDirection	ExpectedAspect	ResponseText	ResponseStatus	Element	ResponseVal	Y
9	Level1	K1009	16.0	19.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляли	OtherVerb	manner	x	0
9	Level1	K1009	16.0	19.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляли	OtherVerb	direction	x	0
9	Level1	K1009	16.0	19.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляли	OtherVerb	aspect	impf	1
10	Level1	K1010	15.0	21.0	F	14.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	path	x	0
10	Level1	K1010	15.0	21.0	F	14.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	manner	x	0
10	Level1	K1010	15.0	21.0	F	14.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	direction	x	0
10	Level1	K1010	15.0	21.0	F	14.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	aspect	impf	1
11	Level1	K1011	15.0	23.0	M	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гулят	OtherVerb	path	x	0
11	Level1	K1011	15.0	23.0	M	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гулят	OtherVerb	manner	x	0
11	Level1	K1011	15.0	23.0	M	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гулят	OtherVerb	direction	x	0
11	Level1	K1011	15.0	23.0	M	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гулят	OtherVerb	aspect	impf	1
12	Level1	K1012	15.0	23.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	path	-	1
12	Level1	K1012	15.0	23.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	manner	walk	1
12	Level1	K1012	15.0	23.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	direction	uni	1
12	Level1	K1012	15.0	23.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	aspect	impf	1
13	Level1	K1013	14.0	20.0	M	12.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	проходят	MotionVerb	path	pro	0
13	Level1	K1013	14.0	20.0	M	12.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	проходят	MotionVerb	manner	walk	1
13	Level1	K1013	14.0	20.0	M	12.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	проходят	MotionVerb	direction	-	0
13	Level1	K1013	14.0	20.0	M	12.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	проходят	MotionVerb	aspect	impf	1
14	Level1	K1014	13.0	29.0	F	84.0	6.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	йдут	MotionVerb	path	-	1
14	Level1	K1014	13.0	29.0	F	84.0	6.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	йдут	MotionVerb	manner	walk	1
14	Level1	K1014	13.0	29.0	F	84.0	6.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	йдут	MotionVerb	direction	uni	1
14	Level1	K1014	13.0	29.0	F	84.0	6.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	йдут	MotionVerb	aspect	impf	1
15	Level1	K1015	12.0	22.0	M	21.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	йдут	MotionVerb	path	-	1
15	Level1	K1015	12.0	22.0	M	21.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	йдут	MotionVerb	manner	walk	1
15	Level1	K1015	12.0	22.0	M	21.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	йдут	MotionVerb	direction	uni	1
15	Level1	K1015	12.0	22.0	M	21.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	йдут	MotionVerb	aspect	impf	1
16	Level1	K1016	12.0	20.0	M	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	path	x	0
16	Level1	K1016	12.0	20.0	M	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	manner	x	0
16	Level1	K1016	12.0	20.0	M	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	direction	x	0
16	Level1	K1016	12.0	20.0	M	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	aspect	impf	1
17	Level1	K1017	12.0	20.0	M	24.0	60.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	path	x	0
17	Level1	K1017	12.0	20.0	M	24.0	60.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	manner	x	0
17	Level1	K1017	12.0	20.0	M	24.0	60.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	direction	x	0
17	Level1	K1017	12.0	20.0	M	24.0	60.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гуляют	OtherVerb	aspect	impf	1
18	Level1	K1018	11.0	19.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	path	-	1
18	Level1	K1018	11.0	19.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	manner	walk	1
18	Level1	K1018	11.0	19.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	direction	uni	1
18	Level1	K1018	11.0	19.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	aspect	impf	1
19	Level1	K1019	9.0	22.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	path	-	1
19	Level1	K1019	9.0	22.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	manner	walk	1
19	Level1	K1019	9.0	22.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	direction	uni	1
19	Level1	K1019	9.0	22.0	F	18.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	идут	MotionVerb	aspect	impf	1
20	Level1	K1020	9.0	22.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гулят	OtherVerb	path	x	0
20	Level1	K1020	9.0	22.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гулят	OtherVerb	manner	x	0
20	Level1	K1020	9.0	22.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гулят	OtherVerb	direction	x	0
20	Level1	K1020	9.0	22.0	F	20.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	гулят	OtherVerb	aspect	impf	1
21	Level1	K1021	5.0	20.0	F	19.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	ходят	MotionVerb	path	-	1
21	Level1	K1021	5.0	20.0	F	19.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	ходят	MotionVerb	manner	walk	1
21	Level1	K1021	5.0	20.0	F	19.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	ходят	MotionVerb	direction	multi	0
21	Level1	K1021	5.0	20.0	F	19.0	0.0	t001	идут	DirectionItem	FALSE	FALSE	FALSE	-	walk	uni	impf	ходят	MotionVerb	aspect	impf	1
22	Level1	K1001	19.0	27.0	M	24.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	path	-	1
22	Level1	K1001	19.0	27.0	M	24.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	manner	walk	0
22	Level1	K1001	19.0	27.0	M	24.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	direction	uni	1
22	Level1	K1001	19.0	27.0	M	24.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	aspect	impf	1
23	Level1	K1002	18.0	33.0	F	48.0	0.75	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	водит	OtherVerb	path	x	0
23	Level1	K1002	18.0	33.0	F	48.0	0.75	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	водит	OtherVerb	manner	x	0
23	Level1	K1002	18.0	33.0	F	48.0	0.75	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	водит	OtherVerb	direction	x	0
23	Level1	K1002	18.0	33.0	F	48.0	0.75	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	водит	OtherVerb	aspect	impf	1
24	Level1	K1003	18.0	20.0	F	54.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	path	-	1
24	Level1	K1003	18.0	20.0	F	54.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	manner	ride	1
24	Level1	K1003	18.0	20.0	F	54.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	direction	uni	1
24	Level1	K1003	18.0	20.0	F	54.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	aspect	impf	1
25	Level1	K1004	17.0	25.0	M	36.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	path	-	1
25	Level1	K1004	17.0	25.0	M	36.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	manner	ride	1
25	Level1	K1004	17.0	25.0	M	36.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	direction	uni	1
25	Level1	K1004	17.0	25.0	M	36.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	aspect	impf	1
26	Level1	K1005	17.0	36.0	M	156.0	1.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	пройдёт	MotionVerb	path	pro	0
26	Level1	K1005	17.0	36.0	M	156.0	1.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	пройдёт	MotionVerb	manner	walk	0
26	Level1	K1005	17.0	36.0	M	156.0	1.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	пройдёт	MotionVerb	direction	-	0
26	Level1	K1005	17.0	36.0	M	156.0	1.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	пройдёт	MotionVerb	aspect	pf	0
27	Level1	K1006	16.0	20.0	F	24.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	path	-	1
27	Level1	K1006	16.0	20.0	F	24.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	manner	ride	1
27	Level1	K1006	16.0	20.0	F	24.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	direction	uni	1
27	Level1	K1006	16.0	20.0	F	24.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	aspect	impf	1
28	Level1	K1007	16.0	20.0	F	48.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	path	-	1
28	Level1	K1007	16.0	20.0	F	48.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	manner	ride	1
28	Level1	K1007	16.0	20.0	F	48.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	direction	uni	1
28	Level1	K1007	16.0	20.0	F	48.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	aspect	impf	1
29	Level1	K1008	16.0	20.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	path	-	1
29	Level1	K1008	16.0	20.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	manner	walk	0
29	Level1	K1008	16.0	20.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	direction	uni	1
29	Level1	K1008	16.0	20.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	aspect	impf	1
30	Level1	K1009	16.0	19.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	path	-	1
30	Level1	K1009	16.0	19.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	manner	walk	0
30	Level1	K1009	16.0	19.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	direction	uni	1
30	Level1	K1009	16.0	19.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	aspect	impf	1
31	Level1	K1010	15.0	21.0	F	14.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ездит	MotionVerb	path	-	1
31	Level1	K1010	15.0	21.0	F	14.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ездит	MotionVerb	manner	ride	1
31	Level1	K1010	15.0	21.0	F	14.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ездит	MotionVerb	direction	multi	0
31	Level1	K1010	15.0	21.0	F	14.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ездит	MotionVerb	aspect	impf	1
32	Level1	K1011	15.0	23.0	M	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ехать	MotionVerb	path	-	1
32	Level1	K1011	15.0	23.0	M	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ехать	MotionVerb	manner	ride	1
32	Level1	K1011	15.0	23.0	M	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ехать	MotionVerb	direction	uni	1
32	Level1	K1011	15.0	23.0	M	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ехать	MotionVerb	aspect	impf	1
33	Level1	K1012	15.0	23.0	F	20.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	path	-	1
33	Level1	K1012	15.0	23.0	F	20.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	manner	ride	1
33	Level1	K1012	15.0	23.0	F	20.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	direction	uni	1
33	Level1	K1012	15.0	23.0	F	20.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	aspect	impf	1
34	Level1	K1013	14.0	20.0	M	12.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	path	-	1
34	Level1	K1013	14.0	20.0	M	12.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	manner	ride	1
34	Level1	K1013	14.0	20.0	M	12.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	direction	uni	1
34	Level1	K1013	14.0	20.0	M	12.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	aspect	impf	1
35	Level1	K1014	13.0	29.0	F	84.0	6.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	бегает	MotionVerb	path	-	1
35	Level1	K1014	13.0	29.0	F	84.0	6.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	бегает	MotionVerb	manner	run	0
35	Level1	K1014	13.0	29.0	F	84.0	6.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	бегает	MotionVerb	direction	multi	0
35	Level1	K1014	13.0	29.0	F	84.0	6.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	бегает	MotionVerb	aspect	impf	1
36	Level1	K1015	12.0	22.0	M	21.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ходит	MotionVerb	path	-	1
36	Level1	K1015	12.0	22.0	M	21.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ходит	MotionVerb	manner	walk	0
36	Level1	K1015	12.0	22.0	M	21.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ходит	MotionVerb	direction	multi	0
36	Level1	K1015	12.0	22.0	M	21.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	ходит	MotionVerb	aspect	impf	1
37	Level1	K1016	12.0	20.0	M	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	возьми такси	OtherVerb	path	x	0
37	Level1	K1016	12.0	20.0	M	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	возьми такси	OtherVerb	manner	x	0
37	Level1	K1016	12.0	20.0	M	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	возьми такси	OtherVerb	direction	x	0
37	Level1	K1016	12.0	20.0	M	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	возьми такси	OtherVerb	aspect	pf	0
38	Level1	K1017	12.0	20.0	M	24.0	60.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	path	-	1
38	Level1	K1017	12.0	20.0	M	24.0	60.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	manner	ride	1
38	Level1	K1017	12.0	20.0	M	24.0	60.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	direction	uni	1
38	Level1	K1017	12.0	20.0	M	24.0	60.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	aspect	impf	1
39	Level1	K1018	11.0	19.0	F	20.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	path	-	1
39	Level1	K1018	11.0	19.0	F	20.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	manner	walk	0
39	Level1	K1018	11.0	19.0	F	20.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	direction	uni	1
39	Level1	K1018	11.0	19.0	F	20.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	идёт	MotionVerb	aspect	impf	1
40	Level1	K1019	9.0	22.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	path	-	1
40	Level1	K1019	9.0	22.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	manner	ride	1
40	Level1	K1019	9.0	22.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	direction	uni	1
40	Level1	K1019	9.0	22.0	F	18.0	0.0	t002	едет	DirectionItem	FALSE	FALSE	FALSE	-	ride	uni	impf	едет	MotionVerb	aspect	impf	1
